gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_id,seq_name,gene_biotype,description
CYP1B1,61.3042626078498,2.81942016143807,0.282575340210007,1.28261006565844e-24,1.79462800386929e-20,ENSG00000138061,2,protein_coding,cytochrome P450 family 1 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2597]
NDUFAF3,313.116239838423,1.09571069968639,0.157756064079032,3.05308660299105e-13,2.13593938745254e-09,ENSG00000178057,3,protein_coding,NADH:ubiquinone oxidoreductase complex assembly factor 3 [Source:HGNC Symbol;Acc:HGNC:29918]
TCTEX1D4,145.550479706513,1.27307947887119,0.194137064334522,4.48968302651639e-12,2.09398816356724e-08,ENSG00000188396,1,protein_coding,Tctex1 domain containing 4 [Source:HGNC Symbol;Acc:HGNC:32315]
PCLO,166.54844797262,-1.26279002276239,0.21047069942772,7.42837196573639e-11,2.28610948549868e-07,ENSG00000186472,7,protein_coding,piccolo presynaptic cytomatrix protein [Source:HGNC Symbol;Acc:HGNC:13406]
TEX26,92.6499451248507,1.59646386741082,0.261171223942277,8.1693449310273e-11,2.28610948549868e-07,ENSG00000175664,13,protein_coding,testis expressed 26 [Source:HGNC Symbol;Acc:HGNC:28622]
AL357093.2,422.301147197855,1.51062048516414,0.259245105599027,4.29698445099275e-10,8.61615094749216e-07,ENSG00000258752,14,lncRNA,novel transcript, antisense to FOXN3
LINC02166,55.9581498408477,1.57933396971045,0.271355972854835,4.31053863868247e-10,8.61615094749216e-07,ENSG00000260259,16,lncRNA,long intergenic non-protein coding RNA 2166 [Source:HGNC Symbol;Acc:HGNC:53027]
LINC01765,35.8399175065144,1.79921014977539,0.310845643581118,6.16069678148835e-10,1.07750586708231e-06,ENSG00000233730,1,lncRNA,long intergenic non-protein coding RNA 1765 [Source:HGNC Symbol;Acc:HGNC:52555]
C1orf189,47.9138687604285,1.69224116641398,0.298313059761502,9.90707039587131e-10,1.26017935435483e-06,ENSG00000163263,1,protein_coding,chromosome 1 open reading frame 189 [Source:HGNC Symbol;Acc:HGNC:32305]
SNTN,510.965845434458,1.46175793175856,0.256089887216624,8.62305810422028e-10,1.26017935435483e-06,ENSG00000188817,3,protein_coding,sentan, cilia apical structure protein [Source:HGNC Symbol;Acc:HGNC:33706]
MIR200CHG,52.4211995436641,1.40345406913331,0.247408593012864,9.87970082634413e-10,1.26017935435483e-06,ENSG00000257084,12,lncRNA,MIR200C and MIR141 host gene [Source:HGNC Symbol;Acc:HGNC:53161]
HSPA1A,3127.69359896462,1.28129124647381,0.231434772489607,2.26545589972336e-09,2.64152157907744e-06,ENSG00000204389,6,protein_coding,heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]
